carat,cut,color,clarity,depth_prcnt,table_prcnt,length,price
0.91,4,4,3,58.4,63.0,6.29,3408
0.83,3,2,5,61.9,58.0,6.05,3408
0.72,2,1,4,61.2,56.0,5.78,3409
0.72,2,1,2,60.5,55.0,5.8,3409
0.72,2,1,2,60.8,57.0,5.77,3409
0.7,3,0,4,62.5,60.0,5.67,3410
0.73,4,0,5,60.5,59.0,5.76,3411
0.73,2,3,4,60.7,57.0,5.85,3411
1.01,1,5,3,64.1,58.0,6.31,3411
1.01,3,5,3,61.6,59.0,6.4,3411
1.07,2,4,0,62.1,55.0,6.55,3412
0.73,2,0,5,62.7,53.0,5.76,3412
0.74,4,3,7,61.3,56.0,5.85,3413
0.79,2,3,4,62.0,56.0,5.91,3413
0.81,2,1,2,60.3,56.0,6.05,3413
0.91,3,4,2,60.9,58.0,6.26,3414
0.76,4,1,4,62.1,58.0,5.84,3415
1.07,2,4,2,61.5,54.0,6.64,3415
0.77,4,2,7,63.5,59.0,5.77,3415
1.07,1,2,0,64.3,59.0,6.42,3415
1.21,1,3,0,64.0,59.0,6.78,3415
1.0,3,6,2,62.7,57.0,6.4,3416
0.74,1,1,4,63.4,55.0,5.76,3416
0.74,4,1,4,62.8,59.0,5.68,3416
0.92,4,4,3,62.8,59.0,6.14,3417
0.79,2,4,7,62.4,56.0,5.91,3417
0.72,2,4,7,61.7,55.0,5.77,3417
0.72,2,4,7,61.8,55.0,5.75,3417
1.01,3,4,2,59.2,58.0,6.58,3417
0.9,4,6,4,62.4,58.0,6.15,3418
0.9,2,6,4,62.1,57.0,6.16,3418
0.93,1,2,3,59.4,61.0,6.24,3418
0.86,0,3,5,66.5,54.1,5.89,3418
1.09,4,1,3,63.1,58.0,6.51,3418
0.8,4,0,5,60.6,63.0,5.94,3419
0.7,2,1,4,60.5,56.0,5.78,3419
0.7,2,0,4,61.7,57.0,5.71,3419
0.75,2,1,2,61.4,56.0,5.83,3419
0.7,1,1,4,58.4,61.0,5.85,3419
0.7,1,1,4,58.4,60.0,5.84,3419
0.96,4,0,3,60.2,63.0,6.36,3419
0.96,1,0,3,64.0,62.0,6.16,3419
0.72,4,2,7,63.6,59.0,5.65,3420
0.78,4,1,4,60.9,57.0,5.94,3420
0.71,4,0,4,62.0,61.0,5.71,3420
0.82,2,4,6,62.9,56.0,5.99,3420
0.8,2,2,2,60.5,57.0,6.02,3420
0.93,4,2,3,63.5,58.0,6.14,3420
1.01,3,6,3,63.0,60.0,6.38,3421
0.71,2,1,5,62.0,55.0,5.72,3421
0.71,2,2,2,61.2,55.0,5.76,3421
0.59,2,1,6,60.7,57.0,5.41,3422
0.81,2,5,4,61.8,56.0,5.97,3422
0.81,2,2,2,61.5,57.0,6.01,3422
0.9,1,1,3,61.9,62.0,6.14,3422
1.0,1,6,5,57.6,58.0,6.59,3422
1.0,0,6,5,65.3,61.0,6.33,3422
0.91,1,2,2,64.0,57.0,6.08,3423
0.91,3,3,3,61.3,60.0,6.17,3423
0.91,3,4,3,62.7,58.0,6.14,3423
0.91,2,4,3,60.3,57.0,6.27,3423
0.76,2,4,6,61.8,57.0,5.82,3423
0.9,1,6,5,57.9,63.0,6.32,3423
0.9,1,6,5,62.3,64.0,6.09,3423
1.09,1,3,3,57.4,61.0,6.82,3424
0.76,2,4,4,61.6,56.0,5.85,3424
0.9,1,0,3,63.5,62.0,6.09,3425
0.7,3,0,4,61.2,60.0,5.69,3425
0.71,4,3,4,62.0,53.0,5.72,3425
0.91,2,3,3,62.2,57.0,6.18,3425
0.93,1,3,3,64.5,56.3,6.08,3425
0.91,1,4,2,63.9,60.0,6.13,3425
1.04,1,6,3,64.2,59.0,6.47,3425
1.0,0,6,2,64.9,58.0,6.29,3427
1.0,4,3,3,58.2,63.0,6.53,3427
0.72,2,1,5,61.7,55.0,5.8,3427
1.02,1,4,3,58.6,64.0,6.32,3427
1.0,3,3,3,60.7,59.0,6.45,3427
0.9,1,2,2,64.3,57.0,6.08,3427
0.9,2,3,3,62.7,55.0,6.11,3428
0.82,2,2,2,61.1,56.0,6.06,3428
0.77,1,0,5,64.3,56.0,5.84,3428
1.05,2,5,5,62.2,56.0,6.52,3428
0.77,4,0,5,63.1,57.0,5.86,3428
0.77,3,0,5,61.2,59.0,5.91,3428
0.77,3,0,5,61.3,60.0,5.92,3428
0.7,4,1,7,61.5,58.0,5.67,3429
0.78,4,2,5,62.2,58.0,5.86,3429
0.8,3,2,5,61.6,58.0,5.98,3429
0.8,2,2,5,62.7,54.0,5.91,3429
0.8,1,2,5,63.2,55.0,5.88,3429
0.73,2,1,5,61.6,56.0,5.8,3429
0.89,2,1,3,62.4,56.0,6.04,3429
0.73,2,4,1,61.4,59.0,5.77,3429
0.9,3,5,5,59.8,61.0,6.22,3431
0.9,3,5,5,62.4,60.0,6.16,3431
0.76,2,1,5,62.1,56.0,5.83,3431
0.71,2,3,4,61.7,56.0,5.72,3431
0.71,2,3,4,61.8,57.0,5.69,3431
0.71,2,3,4,61.7,57.0,5.7,3431
0.71,2,3,4,61.6,55.0,5.71,3431
0.71,2,3,4,61.5,55.0,5.72,3431
0.71,2,3,4,60.7,57.0,5.76,3431
0.71,2,3,4,61.8,55.0,5.71,3431
0.79,4,0,2,59.7,57.0,5.96,3432
0.74,2,3,5,61.2,56.0,5.82,3434
0.91,4,3,3,60.4,61.0,6.21,3435
0.75,2,1,5,61.9,57.0,5.81,3435
0.71,2,1,4,61.4,57.0,5.81,3435
0.79,1,2,4,57.7,58.0,6.06,3436
0.9,4,3,3,64.2,60.0,6.02,3437
0.9,4,4,2,62.8,58.0,6.13,3437
0.9,4,4,2,62.8,57.0,6.14,3437
0.9,3,2,2,62.6,62.0,6.13,3437
0.9,0,2,2,65.1,56.0,6.08,3437
0.93,3,4,3,63.0,59.0,6.16,3437
0.93,3,4,2,60.9,61.0,6.24,3437
0.91,4,1,3,58.5,60.0,6.31,3438
0.91,4,1,3,60.0,60.0,6.23,3438
0.73,2,5,5,60.8,56.0,5.82,3438
0.82,2,2,2,61.3,55.0,6.06,3439
1.01,2,2,0,62.2,54.0,6.44,3439
0.73,2,0,5,62.0,56.0,5.74,3440
0.85,2,1,3,60.7,55.0,6.14,3441
0.8,3,0,2,62.9,60.0,5.94,3441
0.73,4,2,7,61.9,59.0,5.72,3442
0.53,2,0,6,62.1,57.0,5.15,3442
0.77,2,0,5,61.3,56.0,5.87,3442
0.86,2,3,3,61.9,55.0,6.11,3442
0.82,4,5,6,62.8,58.0,5.95,3443
0.76,1,0,5,63.5,55.0,5.81,3443
0.76,2,0,5,61.2,57.0,5.89,3443
1.0,0,2,3,65.7,61.0,6.13,3443
1.09,0,6,5,64.6,58.0,6.48,3443
1.22,4,6,3,63.5,58.0,6.8,3443
1.03,2,2,0,61.1,55.0,6.51,3444
0.71,4,4,1,60.2,61.0,5.76,3444
1.03,3,2,0,62.3,59.0,6.42,3444
1.02,3,6,2,58.9,62.0,6.51,3444
0.78,3,1,4,62.5,57.0,5.94,3444
0.9,4,5,5,61.4,58.0,6.16,3445
0.9,4,3,3,62.0,59.0,6.14,3445
0.9,3,3,3,60.4,58.0,6.25,3445
0.9,4,3,3,61.1,55.0,6.21,3445
0.9,2,6,2,62.7,56.0,6.21,3445
0.7,1,2,7,62.5,58.0,5.68,3445
0.91,4,3,2,63.1,63.0,6.16,3445
0.78,3,2,4,61.5,58.0,5.93,3446
0.51,2,0,1,62.0,56.0,5.14,3446
0.76,2,2,4,61.6,56.0,5.87,3446
0.51,2,0,1,62.1,55.0,5.12,3446
0.7,2,1,4,61.0,56.0,5.7,3446
0.81,2,4,2,61.4,56.0,6.0,3446
0.9,4,4,2,62.6,58.0,6.08,3447
0.9,4,5,4,62.6,58.0,6.14,3447
0.9,1,5,4,62.8,59.0,6.11,3447
0.9,1,4,2,62.8,62.0,6.05,3447
0.9,4,4,2,61.0,59.0,6.11,3447
0.9,4,4,2,62.3,63.0,6.06,3447
0.9,4,4,2,58.7,59.0,6.3,3447
0.7,3,3,1,60.0,59.0,5.75,3447
0.9,1,4,2,62.1,61.0,6.07,3447
0.76,3,1,5,60.5,56.0,5.98,3447
0.7,2,0,5,62.7,57.0,5.65,3448
0.72,4,3,7,60.1,60.0,5.79,3449
1.04,4,5,3,61.6,58.0,6.47,3449
0.9,4,1,3,64.2,54.0,6.08,3449
0.9,1,1,2,63.8,56.0,6.17,3449
1.0,3,1,3,62.9,61.0,6.3,3450
1.0,1,1,3,64.3,58.0,6.18,3450
0.72,2,0,5,62.1,54.0,5.76,3450
1.0,2,1,3,62.9,56.0,6.32,3450
1.0,2,1,3,62.9,56.0,6.32,3450
1.0,3,1,3,61.0,59.0,6.4,3450
1.01,2,1,0,62.0,57.0,6.41,3450
0.7,3,3,7,59.3,54.0,5.89,3450
0.77,3,2,7,60.5,56.0,5.94,3450
1.0,3,1,3,58.5,59.0,6.62,3450
0.7,2,3,5,61.6,56.0,5.7,3451
1.02,2,6,7,62.7,57.0,6.45,3451
0.93,4,4,3,61.9,57.0,6.25,3452
0.9,4,3,3,63.1,55.0,6.16,3452
0.84,4,1,2,58.8,58.0,6.16,3453
0.73,2,1,2,61.5,56.0,5.79,3453
0.82,2,2,5,61.9,57.0,5.99,3453
0.91,3,4,3,60.9,61.0,6.24,3453
0.9,1,2,3,63.9,55.0,6.15,3453
0.74,2,2,5,61.9,57.0,5.79,3454
0.3,4,1,4,63.0,57.0,4.25,568
0.36,1,4,5,63.5,54.0,4.55,568
0.36,2,5,4,60.5,57.0,4.56,568
0.36,1,5,4,63.3,56.0,4.51,568
0.36,2,4,5,62.1,55.0,4.57,568
0.36,2,5,4,62.1,56.0,4.55,568
0.3,1,0,5,63.1,58.0,4.26,568
0.36,2,4,5,62.1,55.0,4.57,568
0.3,1,1,4,63.2,57.0,4.26,568
0.36,4,4,5,60.0,62.0,4.58,568
0.36,4,5,4,60.9,61.0,4.58,568
0.36,4,5,4,60.3,60.0,4.58,568
0.36,2,5,4,62.1,57.0,4.54,568
0.26,4,1,7,60.5,55.0,4.1,569
0.35,2,6,1,61.8,55.0,4.54,569
0.35,2,6,1,61.8,53.0,4.58,569
0.3,2,2,5,61.1,55.0,4.37,569
0.3,2,2,5,62.3,58.0,4.26,569
0.33,2,5,6,61.7,55.7,4.43,570
0.41,1,3,3,63.7,55.0,4.7,570
0.3,1,2,4,63.7,56.0,4.26,570
0.3,3,1,5,61.7,60.0,4.28,570
0.3,2,2,4,61.7,56.0,4.32,570
0.3,2,2,4,61.0,56.0,4.35,570
0.3,3,2,4,61.0,58.0,4.33,570
0.3,4,2,4,61.0,60.0,4.3,570
0.3,2,2,4,61.3,55.0,4.32,570
0.3,2,2,4,62.6,57.0,4.29,570
0.23,3,2,7,61.3,59.0,3.99,571
0.36,4,5,7,59.7,55.0,4.65,571
0.74,2,0,5,62.2,56.0,5.79,3454
0.78,2,0,3,61.4,57.0,5.91,3454
0.7,2,0,2,61.8,56.0,5.7,3454
0.96,1,4,3,56.7,62.0,6.51,3454
1.02,4,1,0,60.4,62.0,6.47,3455
1.02,3,6,3,61.4,60.0,6.5,3455
0.9,2,5,2,62.3,57.0,6.12,3455
1.02,2,1,3,62.3,56.0,6.42,3455
0.75,2,0,5,62.4,55.0,5.83,3456
0.86,2,1,2,62.3,54.0,6.13,3456
0.94,3,2,3,62.4,58.0,6.23,3456
0.71,2,2,4,62.1,56.0,5.69,3457
0.9,3,2,3,61.1,54.0,6.29,3457
1.05,3,6,3,60.9,60.0,6.59,3457
0.9,4,2,3,63.1,58.0,6.13,3457
0.9,4,2,3,63.1,56.0,6.18,3457
0.9,3,2,3,61.6,58.0,6.23,3457
1.5,3,4,0,60.1,57.0,7.4,3457
1.04,4,6,3,62.8,57.0,6.44,3459
1.02,2,3,0,61.2,56.0,6.47,3459
0.9,3,6,7,62.5,61.0,6.15,3459
0.73,2,3,4,60.9,59.0,5.79,3459
0.72,3,0,7,60.0,57.0,5.92,3459
0.82,4,3,4,63.3,56.0,5.96,3460
0.8,4,2,4,63.7,56.0,5.87,3460
1.03,2,2,3,62.6,57.0,6.44,3461
0.71,4,2,6,61.8,55.0,5.71,3461
1.01,0,3,3,65.1,58.0,6.29,3461
1.01,3,3,3,61.5,58.0,6.51,3461
1.06,2,2,3,62.7,56.0,6.52,3461
1.01,3,5,3,62.9,58.0,6.34,3461
0.74,3,0,4,62.3,58.0,5.79,3461
1.01,1,3,3,64.0,59.0,6.34,3461
0.96,2,5,5,59.8,57.0,6.42,3462
0.74,3,1,4,61.1,58.0,5.81,3462
0.75,2,1,4,62.0,55.0,5.83,3462
1.01,4,6,3,63.5,59.0,6.3,3462
0.81,4,0,2,63.1,57.0,5.91,3462
0.74,2,3,7,62.2,57.0,5.75,3462
0.73,2,2,7,61.7,54.0,5.82,3463
0.91,4,0,3,62.0,62.0,6.16,3463
0.73,2,4,7,61.6,56.0,5.8,3463
0.7,1,0,4,60.4,62.0,5.73,3463
0.71,4,1,4,62.6,59.0,5.68,3464
0.71,4,1,4,61.6,59.0,5.65,3464
0.9,4,5,3,60.5,56.0,6.22,3464
0.73,2,0,5,61.6,56.0,5.78,3464
0.71,2,1,4,60.4,57.0,5.75,3464
0.71,1,1,4,59.4,61.0,5.8,3464
1.0,1,5,3,63.9,60.0,6.26,3465
1.0,2,6,3,62.1,56.0,6.34,3465
1.0,4,6,2,61.9,62.0,6.33,3465
0.56,2,0,6,61.9,56.0,5.28,3465
0.71,4,0,4,62.9,56.0,5.65,3465
0.9,4,2,3,63.4,60.0,6.06,3465
0.72,2,1,4,62.5,57.0,5.73,3465
0.9,1,2,3,65.9,60.0,5.98,3465
0.9,1,4,2,64.4,58.0,6.04,3465
1.25,1,5,3,60.5,64.0,6.91,3465
1.03,1,3,3,63.9,60.0,6.33,3466
0.73,1,1,4,59.0,61.0,5.88,3466
0.73,2,0,5,61.4,56.0,5.81,3467
0.9,4,2,3,61.3,60.0,6.18,3468
0.55,2,0,7,60.8,56.0,5.29,3468
0.55,2,0,7,61.5,56.0,5.26,3468
0.55,2,0,7,60.8,56.0,5.31,3468
0.7,2,2,5,61.0,55.0,5.74,3468
0.77,2,4,4,61.3,56.0,5.91,3468
0.9,3,5,2,62.1,59.0,6.2,3468
1.11,3,5,3,62.5,56.0,6.63,3469
0.73,2,1,5,61.7,57.0,5.75,3470
0.9,1,2,3,57.9,62.0,6.23,3470
0.7,3,0,4,62.5,60.0,5.62,3471
0.8,4,2,5,62.1,60.0,5.86,3471
0.8,4,2,4,63.6,56.0,5.83,3471
0.73,2,1,4,61.4,55.0,5.8,3471
0.7,2,0,2,61.6,57.0,5.69,3471
0.7,2,0,2,61.8,55.0,5.72,3471
0.73,1,1,4,60.8,61.0,5.77,3471
0.7,2,1,4,62.1,56.0,5.7,3472
1.0,3,4,3,61.0,60.0,6.42,3472
1.0,2,5,2,58.5,55.0,6.47,3472
0.88,4,4,5,63.2,57.0,6.08,3472
0.78,4,3,4,61.5,55.0,5.92,3472
1.0,1,4,3,63.7,58.0,6.28,3472
1.0,3,4,3,59.0,58.0,6.62,3472
1.0,0,4,3,66.1,59.0,6.18,3472
0.9,4,0,3,60.3,63.0,6.22,3473
0.9,1,0,3,60.3,64.0,6.14,3473
0.9,0,0,3,64.9,57.0,6.03,3473
0.9,3,0,3,63.0,58.0,6.16,3473
0.9,0,0,3,64.5,61.0,6.1,3473
0.9,4,5,5,63.1,57.0,6.12,3473
0.78,3,0,5,63.0,58.0,5.86,3473
0.91,3,4,2,60.9,58.0,6.22,3475
0.72,2,4,7,60.9,56.0,5.78,3475
0.84,2,5,5,61.7,55.0,6.07,3475
0.74,4,0,5,59.8,58.0,5.9,3476
0.7,4,0,4,61.6,58.0,5.67,3477
0.8,1,2,4,59.0,60.9,6.03,3477
1.01,0,2,3,64.8,55.0,6.37,3477
0.91,4,6,5,61.9,59.0,6.11,3478
0.7,2,2,7,61.0,57.0,5.73,3478
0.72,2,3,4,61.6,56.0,5.75,3478
0.72,2,3,4,61.3,56.0,5.75,3478
0.72,2,3,4,61.2,57.0,5.76,3478
0.72,2,3,4,61.7,56.0,5.75,3478
0.72,2,3,4,61.4,56.0,5.75,3478
0.72,2,3,4,61.8,56.0,5.74,3478
0.72,2,3,4,60.3,57.0,5.82,3478
0.72,2,3,4,61.5,57.0,5.74,3478
0.72,2,3,4,61.0,55.0,5.81,3478
0.72,2,3,4,60.4,57.0,5.81,3478
0.86,2,1,3,60.0,56.0,6.22,3478
0.9,3,3,3,62.4,55.0,6.17,3478
0.9,4,3,3,60.3,63.0,6.33,3478
0.9,3,5,5,61.6,58.0,6.15,3478
0.71,3,0,4,61.6,58.0,5.78,3479
0.96,4,0,3,60.2,63.0,6.3,3480
1.13,3,4,0,62.7,59.0,6.58,3480
0.71,2,2,4,61.3,56.0,5.76,3480
0.9,4,4,3,61.2,57.0,6.21,3481
0.9,4,4,3,62.3,61.0,6.15,3481
0.81,2,2,2,62.3,55.0,5.96,3481
0.83,3,1,2,60.7,58.0,6.06,3482
0.9,4,1,3,63.7,56.0,6.08,3482
0.83,2,2,2,62.8,56.0,5.97,3482
1.01,0,4,2,64.4,59.0,6.22,3482
1.02,4,6,2,61.9,60.0,6.37,3483
0.9,4,5,4,63.2,57.0,6.1,3484
0.9,3,5,4,62.9,60.0,6.09,3484
0.9,4,5,4,63.5,57.0,6.06,3484
0.9,1,4,2,63.1,63.0,6.04,3484
1.01,1,5,4,64.2,60.0,6.35,3484
0.9,3,5,4,61.2,61.0,6.2,3484
1.01,1,1,0,61.5,65.0,6.28,3484
0.91,1,4,2,63.9,60.0,6.08,3485
0.98,3,2,3,62.3,56.0,6.44,3485
0.75,3,3,7,62.5,56.0,5.84,3486
0.74,2,0,5,62.0,57.0,5.79,3487
0.73,2,3,6,61.6,56.0,5.77,3487
0.77,4,1,4,59.4,61.0,5.98,3488
0.9,4,5,5,63.4,57.0,6.07,3489
0.9,4,5,5,63.4,56.0,6.09,3489
0.77,4,0,5,61.2,59.0,5.86,3489
0.77,1,0,5,63.1,57.0,5.83,3489
0.9,4,3,3,61.4,58.0,6.16,3489
0.91,4,2,3,63.1,56.0,6.13,3489
0.89,3,4,4,60.5,59.0,6.22,3489
0.92,2,6,4,62.0,55.0,6.24,3489
0.72,2,2,4,61.8,56.0,5.72,3489
0.9,1,3,3,62.7,59.0,6.04,3489
0.9,3,3,3,59.9,58.0,6.22,3492
0.73,4,1,4,61.5,57.0,5.78,3492
0.9,4,4,3,62.1,58.0,6.1,3492
0.72,2,3,6,62.2,54.4,5.73,3492
0.72,4,0,5,62.9,58.0,5.67,3493
0.73,2,2,4,61.4,55.0,5.81,3493
0.71,4,2,7,60.6,58.0,5.76,3494
0.8,3,1,5,63.0,56.0,5.91,3494
0.54,2,0,6,61.2,57.0,5.25,3494
0.8,2,3,5,62.1,57.0,5.95,3494
0.78,3,1,5,62.8,60.0,5.86,3494
0.72,4,1,7,61.3,60.0,5.73,3495
0.74,2,3,7,60.9,58.0,5.85,3495
0.72,2,2,5,61.3,55.0,5.78,3495
0.72,2,0,5,62.6,58.0,5.7,3495
0.83,3,2,5,60.2,60.0,6.09,3495
1.02,3,6,2,61.2,57.0,6.58,3496
1.02,3,3,3,61.8,58.0,6.47,3496
0.56,2,0,6,61.9,56.0,5.32,3496
0.91,4,2,3,63.5,56.0,6.16,3496
0.74,4,1,2,59.9,56.0,5.89,3497
0.81,2,4,7,62.0,57.0,5.93,3497
0.76,2,1,5,61.5,59.0,5.84,3497
0.74,2,1,2,60.8,56.0,5.85,3497
1.51,1,3,0,64.0,59.0,7.29,3497
0.74,4,0,5,62.2,59.0,5.8,3498
0.9,2,6,4,62.4,56.0,6.15,3498
0.91,3,4,3,62.1,56.0,6.24,3498
1.01,3,6,3,61.7,58.0,6.4,3499
1.01,3,6,3,61.8,60.0,6.37,3499
1.01,4,6,2,62.9,57.0,6.35,3499
0.62,2,2,6,61.9,56.0,5.46,3499
0.71,2,2,7,62.0,57.0,5.7,3499
0.9,4,4,2,63.3,58.0,6.04,3500
0.93,1,4,4,59.1,64.0,6.36,3500
0.9,2,3,3,62.4,56.0,6.14,3500
0.83,2,2,2,61.7,57.0,6.04,3500
0.9,0,4,4,65.9,60.0,5.99,3500
1.01,2,4,3,61.6,56.0,6.48,3501
0.7,3,0,4,61.0,59.0,5.79,3501
0.8,4,0,2,62.9,60.0,5.89,3502
0.72,2,3,6,62.2,57.0,5.72,3502
0.71,2,0,2,60.8,57.0,5.75,3502
0.71,2,0,2,61.8,56.0,5.72,3502
0.71,2,0,2,61.4,55.0,5.78,3502
0.8,3,2,5,62.1,60.0,5.92,3502
0.9,4,5,3,61.5,57.0,6.16,3503
0.85,2,1,2,62.8,56.0,6.05,3503
0.7,3,2,6,61.6,59.0,5.71,3504
0.71,2,3,7,61.5,56.0,5.74,3504
0.7,2,1,5,61.0,56.0,5.74,3504
0.7,2,1,5,61.3,57.0,5.73,3504
0.7,2,1,5,60.8,56.0,5.74,3504
1.52,0,4,0,64.9,58.0,7.18,3504
1.2,2,5,0,61.9,56.0,6.82,3505
0.9,1,0,2,61.9,64.0,6.09,3505
0.91,1,3,2,63.1,63.0,6.11,3506
0.83,3,1,2,58.4,59.0,6.22,3506
1.01,4,3,3,63.1,55.0,6.36,3507
1.01,3,4,3,62.0,60.0,6.39,3507
0.81,4,3,4,63.1,58.0,5.92,3507
1.01,3,2,3,61.8,54.0,6.47,3507
0.9,3,2,3,62.2,61.0,6.08,3507
0.9,3,2,3,61.5,61.0,6.1,3507
1.03,2,2,0,61.1,55.0,6.54,3507
1.19,4,1,0,60.2,61.0,6.87,3508
0.9,3,1,2,59.0,59.0,6.34,3508
0.9,4,1,2,63.5,55.0,6.22,3508
0.9,0,1,2,65.5,59.0,6.06,3508
0.55,1,0,1,58.0,62.0,5.31,3509
0.73,2,0,4,61.1,57.0,5.85,3509
0.9,1,1,2,63.8,56.0,6.09,3510
1.15,4,3,0,61.2,58.0,6.74,3510
0.9,4,1,2,62.9,57.0,6.11,3510
0.73,2,1,4,61.9,56.0,5.78,3510
0.73,4,1,7,63.4,58.0,5.68,3511
0.91,3,0,3,58.3,60.0,6.4,3511
1.0,3,4,2,62.2,51.0,6.47,3511
1.0,0,4,2,65.5,57.0,6.26,3511
1.0,0,4,2,65.5,57.0,6.26,3511
1.01,1,3,3,60.8,63.0,6.36,3512
1.04,3,5,3,61.6,58.0,6.58,3512
0.9,1,3,2,63.9,60.0,6.1,3512
0.9,4,3,2,63.2,62.0,6.19,3512
1.02,3,6,5,61.6,58.0,6.4,3513
0.82,3,2,4,62.1,56.0,6.02,3513
0.82,2,2,5,61.9,57.0,5.96,3514
0.8,3,3,4,62.5,58.0,5.9,3514
0.81,2,4,2,61.9,56.0,5.92,3514
1.06,4,5,3,58.4,62.0,6.65,3515
0.71,2,2,5,61.5,55.0,5.74,3516
0.71,2,2,5,61.8,55.0,5.74,3516
0.71,2,2,5,61.6,56.0,5.74,3516
0.71,2,1,4,62.0,56.0,5.72,3516
0.9,2,4,3,62.0,57.0,6.19,3516
0.76,4,1,5,63.4,58.0,5.76,3517
0.7,2,4,6,61.5,57.0,5.69,3517
0.74,2,0,2,61.8,56.0,5.84,3517
0.53,2,0,1,61.5,54.0,5.27,3517
0.94,4,2,3,62.4,58.0,6.17,3518
0.74,2,1,5,60.2,55.0,5.87,3518
0.71,2,0,4,60.9,57.0,5.74,3518
0.9,4,5,5,63.3,58.0,6.07,3519
0.9,4,2,3,60.3,57.0,6.27,3519
0.9,4,2,3,61.1,54.0,6.27,3519
0.9,4,2,3,61.4,57.0,6.21,3519
0.9,4,2,3,61.6,58.0,6.15,3519
0.9,1,2,3,63.1,58.0,6.11,3519
0.9,4,2,3,62.4,59.0,6.12,3519
0.9,4,2,3,62.3,58.0,6.16,3519
0.9,1,2,3,63.1,56.0,6.12,3519
0.79,4,2,2,62.9,57.0,5.86,3519
1.02,3,1,0,60.4,62.0,6.52,3519
1.0,2,1,0,61.8,56.0,6.38,3520
0.91,1,1,3,63.1,61.0,6.04,3520
0.91,1,4,2,63.8,60.0,6.0,3520
1.02,2,5,3,62.9,56.0,6.45,3521
0.9,2,3,3,62.5,56.0,6.15,3521
0.9,2,3,3,61.2,57.0,6.24,3521
0.93,2,3,2,60.9,57.0,6.29,3521
0.72,2,0,4,61.6,56.0,5.73,3522
0.96,1,3,2,56.6,63.0,6.52,3522
0.73,2,2,7,61.7,54.0,5.76,3524
0.7,2,4,6,60.3,56.0,5.77,3524
0.71,1,0,4,59.2,56.0,5.84,3524
1.11,3,6,2,59.5,58.0,6.89,3524
0.75,2,3,7,61.3,55.0,5.85,3525
0.73,2,3,4,61.7,56.0,5.76,3525
0.9,4,1,3,63.2,59.0,6.1,3526
0.71,2,1,2,60.5,56.0,5.81,3527
0.95,4,1,3,58.7,63.0,6.43,3527
1.0,3,2,2,62.4,58.0,6.39,3528
1.0,2,3,3,60.3,57.0,6.51,3528
0.82,4,3,5,62.1,56.0,5.94,3528
0.73,2,0,5,61.4,56.0,5.78,3528
1.0,1,4,3,63.9,58.0,6.36,3528
1.0,3,6,2,61.9,62.0,6.36,3528
1.0,1,5,3,63.9,60.0,6.3,3528
1.24,3,1,0,61.1,62.0,6.91,3528
1.0,2,6,3,62.1,56.0,6.41,3528
0.84,3,1,5,62.4,60.0,6.04,3528
1.05,2,6,4,60.6,56.0,6.59,3528
1.05,2,4,3,62.0,57.0,6.54,3528
0.92,3,5,2,60.7,58.0,6.3,3529
0.7,2,0,4,62.8,54.0,5.65,3529
1.03,0,3,3,65.7,58.0,6.32,3530
1.03,2,5,3,59.8,56.0,6.64,3530
1.03,0,5,3,65.2,56.0,6.42,3530
0.24,4,1,2,59.9,58.0,4.06,571
0.35,2,4,5,61.2,56.0,4.54,571
0.35,2,4,5,61.7,56.0,4.55,571
0.35,2,4,5,61.2,56.0,4.53,571
0.35,2,5,4,61.7,54.0,4.54,571
0.35,2,5,4,62.1,54.0,4.54,571
0.36,2,3,2,61.5,54.0,4.6,571
0.36,2,3,2,61.1,55.0,4.58,571
0.36,2,3,2,61.4,55.0,4.61,571
0.32,2,3,2,62.6,55.0,4.41,571
0.32,1,0,3,64.1,54.0,4.37,571
0.34,4,1,3,63.1,56.0,4.51,571
0.31,3,0,2,62.0,58.0,4.3,571
0.31,1,0,2,63.5,57.0,4.28,571
0.31,2,0,2,62.3,54.0,4.33,571
0.31,3,0,2,61.4,58.0,4.33,571
0.31,1,0,2,63.4,55.0,4.28,571
0.31,2,0,2,61.9,57.0,4.33,571
0.31,2,0,2,62.7,56.0,4.32,571
0.31,4,0,2,63.0,55.0,4.32,571
0.31,2,0,2,62.0,55.0,4.36,571
0.31,2,5,6,61.4,54.0,4.38,571
0.31,1,0,2,63.5,56.0,4.29,571
0.31,2,0,2,61.8,57.0,4.32,571
0.31,2,0,2,62.4,56.0,4.33,571
0.31,4,0,2,61.7,59.0,4.31,571
0.31,2,0,2,61.7,57.0,4.34,571
0.31,1,0,2,63.1,57.0,4.3,571
0.31,2,0,2,61.4,55.0,4.35,571
0.31,1,0,2,63.4,58.0,4.32,571
0.91,4,3,3,60.0,57.0,6.27,3531
0.78,2,2,5,60.4,58.0,6.0,3531
0.78,2,2,5,61.5,56.0,5.94,3531
0.78,2,2,5,62.3,56.0,5.91,3531
1.01,1,2,3,63.8,57.0,6.31,3532
0.77,2,2,5,61.8,56.0,5.9,3533
0.96,0,1,3,65.6,58.0,6.11,3533
0.9,4,0,3,60.3,63.0,6.12,3534
0.9,4,0,3,60.6,61.0,6.14,3534
0.9,4,0,3,63.0,58.0,6.12,3534
0.9,1,0,3,60.3,64.0,6.1,3534
0.78,4,0,5,63.0,58.0,5.8,3534
1.02,1,6,3,63.4,56.0,6.36,3534
